"Name","adv_lr","reg_lambda","rep0_true_positive_rate_disparity_Test","rep0_adv_acc","rep0_tmp_testHits@100"
"BUDDY_facebook","0.0005","0.00001","0.0019968748092651367","0.5536733269691467","67.97432239657631"
"BUDDY_facebook","0.0005","0.0001","0.01458454132080078","0.5575962662696838","67.0114122681883"
"BUDDY_facebook","0.0005","0.001","0.006971836090087891","0.5636590719223022","71.21968616262481"
"BUDDY_facebook","0.0001","0.00001","0.0014813542366027832","0.5442225337028503","68.79457917261055"
"BUDDY_facebook","0.0001","0.0001","0.007963478565216064","0.5513551831245422","70.00713266761768"
"BUDDY_facebook","0.0001","0.001","0.007179498672485352","0.5488587617874146","69.11554921540656"
"BUDDY_facebook","0.00005","0.00001","0.008801579475402832","0.5420827269554138","65.40656205420828"
"BUDDY_facebook","0.00005","0.0001","0.007148385047912598","0.5524250864982605","65.62054208273894"
"BUDDY_facebook","0.00005","0.001","0.007331311702728272","0.5483238101005554","67.76034236804564"
"BUDDY_facebook","0.00001","0.00001","0.015347719192504885","0.5556347966194153","69.68616262482168"
"BUDDY_facebook","0.00001","0.0001","0.0036098361015319824","0.5538516640663147","68.08131241084166"
"BUDDY_facebook","0.00001","0.001","0.01128917932510376","0.5526034235954285","63.7660485021398"
